Number,Date,Hare,Start,Notes,Kennel
1,2002-01-20,Oral Roberts,Berkeley,,EBH3
2,2002-02-01,McTaco & Scrotum,Berkeley,,FMH3
3,2002-02-17,,,,EBH3
4,2002-02-23,,Peninsula,Women's Mud Run,SVH3
5,2002-03-01,Dr. Kimble,San Rafael,,FMH3
6,2002-03-17,Whisker Biscuit & A.J.,,,EBH3
7,2002-03-29,Thurston & Little Johnson,Berkeley,Named,FMH3
8,2002-03-31,Likes To Lick & Open Wide,Novato,,EBH3/Gypsies
9,2002-04-14,Honey Bush & Tequila Sunset,Anza Lake,Fetish Hash,EBH3
10,2002-04-18,Mc Taco,Duboce Park,McTaco's Birthday,Gypsies
11,2002-04-21,,Mill Valley,1st Marin,Marin H3
12,2002-04-25,Shithead,Glen Park,,Gypsies
13,2002-04-26,Lois Lame & Pencil Dick & Naked Hasher,North Beach,,FMH3
14,2002-04-28,Zydeco & Spanky,Richmond,Zydeco's Birthday,EBH3
15,2002-05-02,Thumper,Presidio,,Gypsies
0,2002-05-04,,,Oral Roberts' Party,
16,2002-05-05,Tongueless & Nutless Sac,San Quentin,,Gypsies/Winers
17,2002-05-09,Tits 4 Hire,Panhandle,,Gypsies
18,2002-05-12,Manhandler & 3 Ball Jay,Fremont/Sunol,,EBH3
19,2002-05-16,Rongjon,Lands End,,Gypsies
20,2002-05-17,Glory Hole & Sticky Pants,,Bay to Breakers,SFH3
21,2002-05-18,Scrotum,Berkeley,Bay to Breakers,EBH3
22,2002-05-19,,,Bay to Breakers,SFH3
23,2002-05-24,Scrotum & Manhandler,Downtown Oakland,,FMH3
0,2002-05-25,,,Phil-B-Q,
24,2002-05-27,,The Esplanade,,SFH3
25,2002-05-30,Boulder Holder,East Presidio,,Gypsies
26,2002-06-02,Dr. Kimble & Bag Lady,Mill Valley Manzanita,,Marin H3
27,2002-06-03,Open Wide,Pine Lake Park,,SFH3
28,2002-06-06,Tits 4 Hire & Handjob for Humanity,SOMA,,Gypsies
29,2002-06-09,A.J.,Briones,,EBH3
30,2002-06-10,Rev. Itchy & Piss Pot,North Beach,,SFH3
31,2002-06-13,Dick Chick & No Hands & Nutless Sac,Portrero Hill,,Gypsies
32,2002-06-17,Captain Organ & Pocahumpus,Castro/Haight,,SFH3
33,2002-06-20,L.C.B.,Haight,,Gypsies
34,2002-06-21,Bigfoot,SOMA,,FMH#
35,2002-06-24,Cuming Mutha,Japantown,Red Dress,SFH3
36,2002-06-27,Lois Lame & Phone Sex,Golden Gate Park,,Gypsies
0,2002-06-29,Chewey & Ram Pam,,Luau,SVH3
37,2002-07-11,Fort Baker,Tongueless & Nutless Sac,,Gypsies
38,2002-07-13,Wet Hairs,Mt. Madonna,Mt. Madonna Campout,SVH3
39,2002-07-15,,Lincoln Park,,SFH3
40,2002-07-20,,Baker Beach/Presidio,Pinprick's Farewell,SFH3
41,2002-07-21,Cupcake,Angel Island,,EBH3
42,2002-07-22,WeeWee & PooPoo,Downtown/North Beach,French Waiter Hash,SFH3
43,2002-07-25,Manhandler & Three Ball Jay,Stern Grove,,Gypsies
44,2002-07-26,Scrotum,El Cerrito,,FMH3
0,2002-07-28,,,Marathon Volunteer,SFH3
45,2002-07-29,Smegma,Haight/Castro,,SFH3
46,2002-08-01,Gerbil,Mt. Sutro,,Gypsies
47,2002-08-04,Cuming Mutha & Frozen Cum,Mt. Tam,Anti-Ranger,
0,2002-08-07,,,Giants-Cubs Game,
48,2002-08-10,,Woodside,Pool Party,SVH3
49,2002-08-15,Scarlett & Rhett,North Beach,,Gypsies
0,2002-08-17,,,Bigfoot's Movie Party,
50,2002-08-18,Spanky,Berkeley,Photo Hash,EBH3
51,2002-08-23,Nutless Sac & ChinChin,North Beach,,FMH3
52,2002-08-26,Rev. Itchy,Marina,,SFH3
53,2002-08-29,Worm & Beaver Spit,Los Gatos,,FHAC-U
54,2002-08-30,Apple Pie Ho & Poopy Pants,Saratoga,,SVH3
55,2002-09-01,Tongueless & Fits In,Larkspur,,EBH3/Gypsies
56,2002-09-02,Dr. Kimble & Bag Lady,Rodeo Beach,,SFH3
57,2002-09-06,Handjob for Humanity,Richmond,,Gypsies
58,2002-09-08,Sniff My Box & Wankee Doodle,Fort Miley,AGM,SFH3
59,2002-09-09,Beastie Boy & Naked Hasher,Pacific Heights,,SFH3
60,2002-09-12,Bigfoot & Beats Me & Just Laura,Glen Park,,Gypsies
61,2002-09-15,Sister Mary,Niles,,EBH3
62,2002-09-16,Morning Missile & Three Ball Jay,Sunset,Halfway to St. Patrick's,SFH3
63,2002-09-19,Gonad & Just Sean,Haight,,Gypsies
64,2002-09-20,Splat,Hayward,,FHM3
